State Code,Trump,Clinton,Total,% Trump,% Clinton,Clinton % B(W) Obama,Trump % B(W) Romney
AK,130415,93007,246588,0.5288781287005044,0.3771756938699369,-0.030950897254707455,-0.019137645272440218
CO,1137455,1212209,2564185,0.5595617212725129,0.36593871658622296,-0.06034845756228455,0.011766362302890146
NY,2640570,4143874,7046175,0.5198920018203813,0.4283152183160358,-0.09134050147599601,0.0574464999954564
MS,678457,462001,1162987,0.5623469309045491,0.4222084257048676,-0.036729099331879234,0.030144450600578663
KS,656009,414788,1147143,0.7384534105774304,0.20560294020143144,-0.0462344776124929,0.011973830554266207
MO,1585753,1054889,2775098,0.7325636947396847,0.22680830212967704,-0.10247533609434638,0.08436443154374806
DE,185103,235581,441535,0.47228171552583964,0.48127336958201755,-0.05510903015402491,0.02247301337978197
HI,128815,266827,428825,0.28307754261075424,0.6300658776139543,-0.09733745107502714,0.03064969412339366
VT,95053,178179,291413,0.3695346652775354,0.5670649183392825,-0.08483736361407963,0.03955567997076569
WV,486198,187457,708226,0.7309530111793522,0.22372764338010634,-0.10523884558915117,0.08405863220408544
NH,345789,348521,731553,0.47319468450077756,0.4761313848010496,-0.0663228315401831,0.028835370720806237
ND,216133,93526,336968,0.6982428255676287,0.2304039089536941,-0.12553072504828464,0.0778318743186986
SC,1143611,849469,2084444,0.5237401755218895,0.44417685691204367,-0.042730042660806954,0.022109499391632686
AL,1306925,718084,2078165,0.644118835593072,0.33787563017591793,-0.046515956090746644,0.03636955741065241
VA,1731156,1916845,3844787,0.5497713481883381,0.40702530589067665,-0.04708326114499981,0.01945041548014838
NV,511319,537753,1122990,0.6669430033543541,0.2560557217370756,-0.07232897623312037,0.027544093793095997
MT,274120,174521,483574,0.6785726206358039,0.26021012343695554,-0.07167195293401221,0.04242209696119476
IL,2118179,2977498,5374280,0.634255378024361,0.3141269356749878,-0.09542195314809959,0.06413994001545731
NM,315875,380724,783127,0.48495094353686896,0.4112388076635158,-0.06999626635803294,0.0023965780040702427
OK,947934,419788,1451056,0.7541298898353058,0.20053073996407453,-0.07321047230460684,0.02787110210398726
LA,1178004,779535,2027731,0.6345900127544571,0.3394019760165685,-0.03304563752549623,0.02160607811462706
NE,485819,273858,805638,0.7732432314331089,0.1796023393993131,-0.07501598888687497,0.04661244193526524
RI,179421,249902,450121,0.4023162378332342,0.5476829649191608,-0.0542292085234371,0.022474031852660347
PA,2912941,2844705,5970107,0.6354796034495311,0.32816053802460665,-0.07961618862257779,0.057690898085124086
CT,668266,884432,1623542,0.4431077530307672,0.5080438866126594,-0.05863579700453522,0.02353403416245968
KY,1202942,628834,1922218,0.7310404787642646,0.2321216389319214,-0.08224172817536737,0.062035658273074855
WY,174248,55949,248742,0.7446539257084247,0.1864657544397268,-0.05422135571254926,0.012581886495561204
UT,452086,274188,984957,0.6211403060548217,0.184510598738753,0.0009874931171066953,-0.17372627050922854
TN,1517402,867110,2484691,0.7302627459170169,0.2383988859534867,-0.08037300434961334,0.06437105541198461
OH,2771984,2317001,5325395,0.6484158501612872,0.3064190285771587,-0.11360415508110147,0.08839334450607805
NJ,1535513,2021756,3674893,0.4469757624227116,0.5190103446842992,-0.03684227342462228,0.013980937132619664
ID,407199,189677,688235,0.6683308746799047,0.207738323069868,-0.0587782942104691,-0.037391038895121194
MD,873646,1497951,2474543,0.5118547622050914,0.44591266200217533,-0.036849938054073675,0.012493086282178226
SD,227701,117442,370047,0.6597972303479949,0.2827254924894502,-0.10013043163042838,0.06406240156338325
WA,1129120,1610524,2957942,0.5188343528206604,0.406604910366616,-0.04690353592787025,-0.0015961397290220564
FL,4605515,4485745,9386750,0.6202500336173878,0.35071465371194155,-0.04393209055259839,0.024878143853644015
IN,1556220,1031953,2722029,0.6761187930325405,0.27627746282585214,-0.09557317746111306,0.07014214883546777
MN,1322891,1366676,2916404,0.5835990004990836,0.3425503423927681,-0.12554423875875653,0.07249025943617661
TX,4681590,3867816,8903237,0.719850161580286,0.2526816744598599,-0.026619906679951632,0.010677308019988585
OR,742506,934631,1808575,0.5659115860990478,0.36247394982121856,-0.056834241278791074,0.014603783809873046
CA,3841134,7230699,11733523,0.43412717015283786,0.5032217643103776,-0.006757363089783957,-0.02855461221814941
DC,11553,260223,280272,0.04122067134783353,0.928465918821716,0.014827836733513178,-0.03002297971977335
GA,2068623,1837300,4029564,0.6409321451736492,0.33806125273683163,-0.033584601538370396,0.022676170363825125
AZ,1021154,936250,2062810,0.5280546741807564,0.4192692038568168,-0.01736893180173551,-0.01820127827367022
MI,2279805,2268193,4790917,0.5863690048835686,0.35958413786374976,-0.10312518151996221,0.060329662850730575
NC,2339603,2162074,4629471,0.5790083390803725,0.39768002358354465,-0.04215615938994918,0.028557969448322177
ME,334838,354873,741550,0.48311332294580817,0.4444556445808503,-0.100873754084815,0.05636515943599295
IA,798923,650790,1542880,0.6125683370824044,0.33412610682455507,-0.13685766983215358,0.09734727856992906
AR,677904,378729,1108615,0.6539891698364012,0.3065586904255017,-0.043102679761732855,0.030811574122762652
WI,1409467,1382210,2944620,0.548633387279904,0.40234391996948415,-0.10426454438197062,0.06683160883034649
MA,1083069,1964768,3231531,0.3229387996282157,0.6174707545095827,-0.01703680702126117,-0.02502156157867923
