State,Totals,malesTotals,M16to19,M16to19unemp,M20to21,M20to21unemp,M22to24,M22to24unemp,M25to29,M25to29unemp,M30to34,M30to34unemp,M35to44,M35to44unemp,M44to54,M44to54unemp
AL,3846845,1838457,131460,12446,75220,11090,99164,12585,154977,13936,150036,10883,297360,16903,323276,15695
AK,565212,297523,21389,2147,14235,1512,20755,2176,32415,2426,28232,1566,47646,3252,52387,3170
GA,7792052,3755342,291805,30147,155261,22251,214032,24759,342885,29022,333159,24329,673241,38772,681983,38702
HI,1130491,568006,33112,2284,23092,1952,35270,2170,58033,3314,51544,2655,89875,4132,90817,3735
ID,1232564,613563,45812,4739,23402,2387,34595,2931,53998,3478,54217,2459,100360,4198,100197,5509
IL,10201787,4953542,360592,40673,187576,25006,268501,31098,448001,40880,445416,32419,842090,55015,887216,56304
IN,5160786,2514517,189131,17731,100889,10717,140805,14690,210315,16960,211656,14266,414093,23560,448687,22921
IA,2447401,1204116,88945,7733,49347,4243,66307,4505,98079,5072,100924,4614,183941,6243,208144,7457
KS,2247842,1110090,83212,7302,47391,3930,66512,5081,99384,5766,98020,4556,175410,6554,187631,7637
KY,3493098,1701419,118391,12272,67945,8236,90794,9584,140811,13276,142732,10185,282569,16552,305773,14204
LA,3634163,1755772,125995,11428,73090,10338,101438,10013,167414,13646,160094,10207,280899,13979,303649,13199
ME,1098075,531324,33511,3416,17507,2319,23007,2334,37685,3251,36838,2325,78080,4026,100599,4825
AZ,5207123,2567381,188876,19488,104873,12123,142852,15234,231488,20471,223754,14748,420309,22688,416216,22928
MD,4737405,2264177,160927,15329,84810,10747,120617,11768,205555,16032,196824,12446,374728,19386,425956,20454
MA,5479502,2624168,192543,19652,103394,10692,140356,14849,235172,18608,216220,13401,414404,23823,485602,27294
MI,7925988,3851154,285371,33262,155249,21725,208270,25929,303606,30690,292780,25349,598469,43948,703578,45686
MN,4281141,2110737,147611,13111,74019,7148,108864,8805,185766,11125,189374,9629,339196,13897,386557,16765
MS,2333154,1117113,85924,9165,49777,7446,63870,8106,96027,9538,95533,7500,181857,11088,190681,8960
MO,4803676,2329117,165711,16980,92344,10540,124584,12138,200511,14979,197781,12898,364803,19072,413201,20550
MT,814661,407705,27201,2478,16496,1793,21419,1778,32300,2034,33167,1864,58310,2261,67581,3357
NE,1454157,716470,52714,4918,28956,2350,40531,2639,64277,2912,64230,2217,113880,3708,121970,3617
NV,2210559,1107525,72003,7769,38178,5724,57429,7083,103079,9288,101626,8432,194357,15585,194944,15567
NH,1087512,532886,37691,4077,19819,2420,25067,2155,39514,2331,37282,1848,80748,2617,106132,4530
AR,2328384,1129555,81392,7851,45546,5001,59114,6836,96190,7876,96273,6215,182252,9590,192198,8715
NJ,7120154,3432928,239749,21317,119551,15148,171414,20537,288078,24769,286242,20219,584694,35190,659983,38208
NM,1633310,802680,59012,7291,31259,3906,47139,5031,73009,6147,69394,4674,123183,8210,132183,7607
NY,15921937,7622814,534021,44982,300893,35782,423461,47177,722290,62315,668918,44464,1239681,67219,1369873,73050
NC,7812594,3756862,268208,31048,158146,21791,207910,23467,317709,27710,311582,21885,643013,37506,665760,38994
ND,575611,293967,20886,936,15553,445,21413,865,29543,872,26425,630,41969,866,46512,902
OH,9229397,4462679,321226,36602,168616,20655,227916,25418,369646,30634,356757,25488,706851,42550,805949,43998
OK,3003180,1473877,107456,9261,60281,6180,85610,6193,135217,7816,132683,6093,236774,9296,247029,9719
OR,3177669,1558407,100786,11419,55613,7145,79106,9934,134241,12400,137090,10659,260217,17215,257305,18159
PA,10384811,5019924,354720,35105,192473,23573,251063,28871,420247,36357,391190,25680,764894,43461,907320,47705
PR,2884153,1354655,107427,11024,57291,11216,73877,14640,111447,17572,109227,13064,218578,23408,219594,21464
CA,30312429,14946843,1105524,109807,621649,83206,883323,103744,1478557,135933,1399835,104257,2596114,165740,2612042,166751
RI,865174,414110,31523,3313,17802,2016,23397,2412,35958,3115,32410,2265,62867,3966,74570,3733
SC,3816548,1833995,132397,14016,80171,10584,99237,12277,156273,14812,148237,10565,291473,17414,314113,18036
SD,657804,328032,23364,1615,13272,1221,18413,1205,29131,1549,28133,900,49205,1522,55309,1924
TN,5174955,2492062,171933,17552,97856,11912,132501,14485,210618,17766,209305,13423,416812,21960,440722,22248
TX,20241168,9957748,783240,68191,424896,44549,582570,49629,982673,62413,961403,48735,1795464,71926,1719470,70189
UT,2096916,1045393,90276,8049,44640,4073,79431,4281,109125,5733,115198,5392,190952,7037,153465,5352
VT,519139,253092,18974,1090,10653,1049,12648,1227,18005,1190,17565,963,36287,1259,45944,1722
VA,6598956,3214057,225732,19586,128773,13224,175833,16061,296682,20558,286536,13581,542964,20504,582889,22578
WA,5568640,2763013,183262,17862,104363,12790,151577,15228,260873,19752,252612,15754,464391,24452,478792,25018
WV,1512183,740277,46993,4420,27002,2812,35920,3811,54564,5441,56430,4240,116426,6617,127927,6054
CO,4168824,2080713,140815,14641,79148,8679,116654,10513,204625,12183,200624,10821,367808,14309,358273,16845
WI,4583931,2258560,159558,13950,84544,8678,117861,11032,183464,11870,187494,11874,352551,17353,416000,19373
WY,456640,232235,15829,1188,9903,734,12727,857,21459,1015,21008,919,36126,1454,37917,1185
CT,2906229,1400433,104967,11152,52093,6432,71125,8986,112189,10481,107223,9155,219088,13951,270516,16633
DC,546805,255889,15634,1354,11978,1377,15325,2175,35295,2500,32716,2466,44906,2824,38528,3051
DE,744949,356013,24371,2208,13758,1659,19006,1820,30933,2648,28602,2083,54172,2806,63026,3386
FL,16077778,7776754,489318,48589,280862,36129,385515,45362,641710,59488,602467,47780,1202796,77157,1347001,87852
